guid,name,freq,ger_pop,tags
gDoa~q}lKm,Anthus trivialis,1300,,Animalia::Chordata::Aves::Passeriformes::Motacillidae::Anthus
k[)1cQm5MD,Falco peregrinus,1360,,Animalia::Chordata::Aves::Falconiformes::Falconidae::Falco
G`4*L{eoRZ,Podiceps nigricollis,1380,,Animalia::Chordata::Aves::Podicipediformes::Podicipedidae::Podiceps
O!c(j7H$qM,Luscinia svecica,1400,,Animalia::Chordata::Aves::Passeriformes::Muscicapidae::Luscinia
"n_TVM&K/D,",Dryobates minor,1420,,Animalia::Chordata::Aves::Piciformes::Picidae::Dendrocopos
h@0^;qI~6),Falco subbuteo,1440,,Animalia::Chordata::Aves::Falconiformes::Falconidae::Falco
skVv+Z[U>1,Acrocephalus schoenobaenus,1460,,Animalia::Chordata::Aves::Passeriformes::Acrocephalidae::Acrocephalus
B/7kbZWp-X,Hippolais icterina,1470,,
uv/V|VFLFd,Strix aluco,1520,,Animalia::Chordata::Aves::Strigiformes::Strigidae::Strix
fiWLw>A5a%,Ficedula hypoleuca,1520,,
AB#~:%F#`8,Pandion haliaetus,1550,,Animalia::Chordata::Aves::Accipitriformes::Pandionidae::Pandion
fSx>4o)s?<,Circus cyaneus,1560,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Circus
mZkzxyG;~L,Phylloscopus sibilatrix,1580,,
wKF6X9!-Gx,Loxia curvirostra,1620,,
Lzh#h>@5zW,Limosa limosa,1630,,Animalia::Chordata::Aves::Charadriiformes::Scolopacidae::Limosa
"kQ2WFc4??,",Cygnus cygnus,1660,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Cygnus
i5`8o9t{Ld,Pernis apivorus,1750,,Animalia::Chordata::Aves::Accipitriformes::Accipitridae::Pernis
Mk$0a{*?qr,Ardea purpurea,1840,,Animalia::Chordata::Aves::Pelecaniformes::Ardeidae::Ardea
i/^7Rw{EFQ,Platalea leucorodia,1840,,
he2qp;Zbmi,Perdix perdix,1880,,Animalia::Chordata::Aves::Galliformes::Phasianidae::Perdix
goct:=qwb6,Ichthyaetus melanocephalus,1950,,Animalia::Chordata::Aves::Charadriiformes::Laridae::Ichthyaetus
EE>R5w~Auh,Numenius phaeopus,1970,,Animalia::Chordata::Aves::Charadriiformes::Scolopacidae::Numenius
luCy2xn(!$,Coturnix coturnix,2070,,Animalia::Chordata::Aves::Galliformes::Phasianidae::Coturnix
IJ|FCYq!7W,Asio otus,2160,,Animalia::Chordata::Aves::Strigiformes::Strigidae::Asio
j:4P3:u3F),Bubo bubo,2180,,Animalia::Chordata::Aves::Strigiformes::Strigidae::Bubo
f;wtau8mt!,Asio flammeus,2270,,Animalia::Chordata::Aves::Strigiformes::Strigidae::Asio
tPm_d5&-Cl,Athene noctua,2300,,Animalia::Chordata::Aves::Strigiformes::Strigidae::Athene
P+uL^#`$yE,Luscinia luscinia,2360,,
e]z$&^xY5:,Cygnus columbianus bewickii,2501,,Animalia::Chordata::Aves::Anseriformes::Anatidae::Cygnus
Pt~_2Y(cLW,Tyto alba,2710,,Animalia::Chordata::Aves::Strigiformes::Tytonidae::Tyto
Ba)gWi+?Ie,Saxicola rubetra,,,
nq?Y(?*+Nf,Oenanthe oenanthe,,,
MD}xTw]~mm,Cinclus cinclus,,,
sw6{ek>rGW,Tringa nebularia,,,
Gn9rFJ(5%-,Recurvirostra avosetta,,,
zkr*#522FE,Tringa glareola,,,
i*sRT2#Re7,Tadorna ferruginea,,,
o$dk5y79fK,Podiceps nigricollis,,,
"A%uwx,d&hM",Somateria mollissima,,,
GegEBwd^r4,Nucifraga caryocatactes,,,
r=#`hPj.r3,Oriolus oriolus,,,
A;#Cz%cz{p,Pyrrhocorax graculus,,,
xU#V{vt1og,Calidris alpina,,,
i/^U9:c=3V,Calidris pugnax,,,
kKBn=WgUgh,Anas acuta,,,
bs(}Qc!dvZ,Charadrius hiaticula,,,
ukVTFac9}W,Charadrius dubius,,,
"O,XxAS1~%E",Actitis hypoleucos,,,
so[_7r7QE2,Anthus spinoletta,,,
"#},+.YDs8",Locustella luscinioides,,,
k<fy.=EQ;%,Rallus aquaticus,,,
Q}L[1-5G3D,Spatula querquedula,,,
s1S%DB.S-F,Aix galericulata,,,
J2wBxJJMQ-,Acrocephalus arundinaceus,,,
n1_enK;]Nw,Anser serrirostris,,,
