name,name:com,name:en,name:nl,name:de,name:fr,name:es,name:eo,name:ru
Mareca penelope,Eurasian Wigeon,Eurasian Wigeon,smient,Pfeifente,canard siffleur,silbón europeo,fajfanaso,свия́зь
Accipiter nisus,Eurasian Sparrowhawk,Eurasian Sparrowhawk,sperwer,Sperber,épervier d'Europe,gavilán común,nizo,я́стреб-перепеля́тник
Sturnus vulgaris,European Starling,European Starling,spreeuw,Star,étourneau sansonnet,estornino pinto,sturno,обыкнове́нный скворе́ц
Athene noctua,Little Owl,Little Owl,steenuil,Steinkauz,chevêche d'Athéna,mochuelo europeo,noktuo,домо́вый сыч
Larus canus,Mew Gull,Mew Gull,stormmeeuw,Sturmmöwe,goéland cendré,gaviota cana,griza mevo,си́зая ча́йка
Falco tinnunculus,Eurasian Kestrel,Eurasian Kestrel,torenvalk,Turmfalke,faucon crécerelle,cernícalo vulgar,turfalko,обыкнове́нная пустельга́
Tringa totanus,Common Redshank,Common Redshank,tureluur,Rotschenkel,chevalier gambette,archibebe común,ruĝkrura tringo,тра́вник
Streptopelia decaocto,Eurasian Collared-Dove,Eurasian Collared-Dove,Turkse tortel,Türkentaube,tourterelle turque,tórtola turca,Turka turto,ко́льчатая го́рлица
Asio flammeus,Short-eared Owl,Short-eared Owl,velduil,Sumpfohreule,hibou des marais,búho campestre,marĉostrigo,боло́тная сова́
Fringilla coelebs,Common Chaffinch,Common Chaffinch,vink,Buchfink,pinson des arbres,pinzón vulgar,fringo,зя́блик
Pandion haliaetus,Osprey,Osprey,visarend,Fischadler,balbuzard pêcheur,águila pescadora,fiŝaglo,скопа́
Gallinula chloropus,Eurasian Moorhen,Eurasian Moorhen,waterhoen,Teichralle,gallinule poule d'eau,gallineta común,verdkrura galinolo,камы́шница
Pernis apivorus,European Honey-buzzard,European Honey-buzzard,wespendief,Wespenbussard,bondrée apivore,abejero europeo,vespobuteo,осое́д
Anas platyrhynchos,Mallard,Mallard,wilde eend,Stockente,canard colvert,ánade real,platbeka anaso,кря́ква
