name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Cygnus olor,140-160,10-12 k,208-238,"insects, snails","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Cygnus</i></div>,"Insekten, Schnecken",,,,,"насекомые , улитки","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Anser anser,76-89,2.9-3.7k,147-180,grass,"farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anser</i></div>,Gras,,,,,трава,"Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Carduelis carduelis,12,14-19,21-25.5,seeds,"farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus&nbsp;<i>Carduelis</i></div>,Samen,,,,,семена,"Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Falco tinnunculus,32-35,156-252,71-80,"birds, insects","farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Falconiformes</div><div>Family Falconidae</div><div>Genus&nbsp;<i>Falco</i></div>,"Vögel, Insekten",,,,,"птицы, насекомые ","Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Chroicocephalus ridibundus,34-37,200-400,100-110,"worms, insects, fish, carrion","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Chroicocephalus</i></div>,"Würmer, Insekten, Fische, Aas",,,,,"черви, насекомые , рыба, падаль","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Hirundo rustica,17-19,16-25,32-35,,"farmland, grassland, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Hirundinidae</div><div>Genus&nbsp;<i>Hirundo</i></div>,,,,,,,"Äcker, Grasland, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, возвышенности, городская среда, пригород"
Aythya fuligula,40-47,"450-1,000",67-73,"molluscs, insects, plants","marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Aythya</i></div>,"Weichtiere, Insekten, Pflanzen",,,,,"моллюски, насекомые , растения","Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, городская среда, пригород"
Emberiza citrinella,16-16.5,25-36,23-29.5,"seeds, insects","farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Emberizidae</div><div>Genus <i>Emberiza</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Columba livia domestica,31-34,230-370,63-70,"seeds, cereals","farmland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Columbiformes</div><div>Family Columbidae</div><div>Genus&nbsp;<i>Columba</i></div>,"Samen, Getreide",,,,,"семена, злаки","Äcker, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, городская среда, пригород"
Turdus philomelos,23,65-100,33-36,"worms, snails, fruits","woodland, farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Turdidae</div><div>Genus&nbsp;<i>Turdus</i></div>,"Würmer, Schnecken, Früchte",,,,,"черви, улитки, фрукты","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Alopochen aegyptiaca,63-73,1.5 to 2.25 k,1.1-1.3 m,"seeds, grass","farmland, grassland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Alopochen</i></div>,"Samen, Gras",,,,,"семена, трава","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Podiceps cristatus,46-51,"590-1,500",85-90,fish,"marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Podicipediformes</div><div>Family Podicipedidae</div><div>Genus&nbsp;<i>Podiceps</i></div>,Fische,,,,,рыба,"Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, городская среда, пригород"
Turdus pilaris,25,80-130,39-42,"insects, worms, berries","woodland, farmland, grassland, urban, suburban",,"Insekten, Würmer, Beeren",,,,,"насекомые , черви, ягоды","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Passer montanus,14,19-25,20-22,"seeds, insects","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Passeridae</div><div>Genus&nbsp;<i>Passer</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Corvus monedula,34,220,70,"insects, eggs, fruits, seeds","woodland, farmland, grassland, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Corvus</i>&nbsp;or&nbsp;<i>Coloeus</i></div>,"Insekten, Eier, Früchte, Samen",,,,,"насекомые , яйца, фрукты, семена","lichte Wälder, Äcker, Grasland, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, возвышенности, городская среда, пригород"
Phoenicurus ochruros,14.5,14-20,23-26,"insects, worms, berries, seeds","farmland, marine, intertidal, urban, suburban",,"Insekten, Würmer, Beeren, Samen",,,,,"насекомые , черви, ягоды, семена","Äcker, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, городская среда, пригород"
Apus apus,16-17,36-50,42-48,,"farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Apodiformes</div><div>Family Apodidae</div><div>Genus&nbsp;<i>Apus</i></div>,,,,,,,"Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Certhia brachydactyla,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Certhiidae</div><div>Genus&nbsp;<i>Certhia</i></div>,,,,,,,,,,,,
Gallinula chloropus,32-35,250-400,50-55,"seeds, fruits, insects, snails, worms","farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Gruiformes</div><div>Family Rallidae</div><div>Genus&nbsp;<i>Gallinula</i></div>,"Samen, Früchte, Insekten, Schnecken, Würmer",,,,,"семена, фрукты, насекомые , улитки, черви","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Ardea alba,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Pelecaniformes</div><div>Family Ardeidae</div><div>Genus&nbsp;<i>Ardea</i></div>,,,,,,,,,,,,
Delichon urbicum,12,15-23,26-29,insects,"farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Hirundinidae</div><div>Genus&nbsp;<i>Delichon</i></div>,Insekten,,,,,насекомые ,"Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Mareca strepera,46-56,650-900,84-95,"stems, leaves, seeds","grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,"Stängel, Blätter, Samen",,,,,"стебли, листья, семена","Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
