name,image,image_female,image_male,image_silh,map
Numenius phaeopus,Numenius_phaeopus_image_1.jpg|Numenius_phaeopus_image_2.jpg|Numenius_phaeopus_image_3.jpg|Numenius_phaeopus_image_4.jpg|Numenius_phaeopus_image_5.jpg,,,,
Pandion haliaetus,Pandion_haliaetus_image_1.jpg|Pandion_haliaetus_image_2.jpg|Pandion_haliaetus_image_3.jpg|Pandion_haliaetus_image_4.jpg|Pandion_haliaetus_image_5.jpg,,,Pandion_haliaetus_image_silh_1.jpg|Pandion_haliaetus_image_silh_2.jpg|Pandion_haliaetus_image_silh_3.jpg,
Parus major,,Parus_major_image_female_1.jpg|Parus_major_image_female_2.jpg|Parus_major_image_female_3.jpg|Parus_major_image_female_4.jpg|Parus_major_image_female_5.jpg,Parus_major_image_male_1.jpg|Parus_major_image_male_2.jpg|Parus_major_image_male_3.jpg|Parus_major_image_male_4.jpg|Parus_major_image_male_5.jpg,,
Passer domesticus,,Passer_domesticus_image_female_1.jpg|Passer_domesticus_image_female_2.jpg|Passer_domesticus_image_female_3.jpg|Passer_domesticus_image_female_4.jpg|Passer_domesticus_image_female_5.jpg,Passer_domesticus_image_male_1.jpg|Passer_domesticus_image_male_2.jpg|Passer_domesticus_image_male_3.jpg|Passer_domesticus_image_male_4.jpg|Passer_domesticus_image_male_5.jpg,,
Passer montanus,Passer_montanus_image_1.jpg|Passer_montanus_image_2.jpg|Passer_montanus_image_3.jpg|Passer_montanus_image_4.jpg|Passer_montanus_image_5.jpg,,,,
Perdix perdix,Perdix_perdix_image_1.jpg|Perdix_perdix_image_2.jpg|Perdix_perdix_image_3.jpg|Perdix_perdix_image_4.jpg|Perdix_perdix_image_5.jpg,,,,
Pernis apivorus,Pernis_apivorus_image_1.jpg|Pernis_apivorus_image_2.jpg|Pernis_apivorus_image_3.jpg|Pernis_apivorus_image_4.jpg|Pernis_apivorus_image_5.jpg,,,Pernis_apivorus_image_silh_1.jpg|Pernis_apivorus_image_silh_2.jpg|Pernis_apivorus_image_silh_3.jpg,
Phalacrocorax carbor,Phalacrocorax_carbor_image_1.jpg|Phalacrocorax_carbor_image_2.jpg|Phalacrocorax_carbor_image_3.jpg|Phalacrocorax_carbor_image_4.jpg|Phalacrocorax_carbor_image_5.jpg,,,,
Phasianus colchicus,,Phasianus_colchicus_image_female_1.jpg|Phasianus_colchicus_image_female_2.jpg|Phasianus_colchicus_image_female_3.jpg|Phasianus_colchicus_image_female_4.jpg|Phasianus_colchicus_image_female_5.jpg,Phasianus_colchicus_image_male_1.jpg|Phasianus_colchicus_image_male_2.jpg|Phasianus_colchicus_image_male_3.jpg|Phasianus_colchicus_image_male_4.jpg|Phasianus_colchicus_image_male_5.jpg,,
Phylloscopus collybita,Phylloscopus_collybita_image_1.jpg|Phylloscopus_collybita_image_2.jpg|Phylloscopus_collybita_image_3.jpg|Phylloscopus_collybita_image_4.jpg|Phylloscopus_collybita_image_5.jpg,,,,
Phylloscopus trochilus,Phylloscopus_trochilus_image_1.jpg|Phylloscopus_trochilus_image_2.jpg|Phylloscopus_trochilus_image_3.jpg|Phylloscopus_trochilus_image_4.jpg|Phylloscopus_trochilus_image_5.jpg,,,,
Pica pica,Pica_pica_image_1.jpg|Pica_pica_image_2.jpg|Pica_pica_image_3.jpg|Pica_pica_image_4.jpg|Pica_pica_image_5.jpg,,,,
Picus viridis,,Picus_viridis_image_female_1.jpg|Picus_viridis_image_female_2.jpg|Picus_viridis_image_female_3.jpg|Picus_viridis_image_female_4.jpg|Picus_viridis_image_female_5.jpg,Picus_viridis_image_male_1.jpg|Picus_viridis_image_male_2.jpg|Picus_viridis_image_male_3.jpg|Picus_viridis_image_male_4.jpg|Picus_viridis_image_male_5.jpg,,
Podiceps cristatus,Podiceps_cristatus_image_1.jpg|Podiceps_cristatus_image_2.jpg|Podiceps_cristatus_image_3.jpg|Podiceps_cristatus_image_4.jpg|Podiceps_cristatus_image_5.jpg|Podiceps_cristatus_image_6.jpg,,,,
Podiceps nigricollis,Podiceps_nigricollis_image_1.jpg|Podiceps_nigricollis_image_2.jpg|Podiceps_nigricollis_image_3.jpg|Podiceps_nigricollis_image_4.jpg|Podiceps_nigricollis_image_5.jpg,,,,
Poecile montanus,Poecile_montanus_image_1.jpg|Poecile_montanus_image_2.jpg|Poecile_montanus_image_3.jpg|Poecile_montanus_image_4.jpg|Poecile_montanus_image_5.jpg,,,,
Poecile palustris,Poecile_palustris_image_1.jpg|Poecile_palustris_image_2.jpg|Poecile_palustris_image_3.jpg|Poecile_palustris_image_4.jpg|Poecile_palustris_image_5.jpg,,,,
Prunella modularis,Prunella_modularis_image_1.jpg|Prunella_modularis_image_2.jpg|Prunella_modularis_image_3.jpg|Prunella_modularis_image_4.jpg|Prunella_modularis_image_5.jpg,,,,
Pyrrhula pyrrhula,,Pyrrhula_pyrrhula_image_female_1.jpg|Pyrrhula_pyrrhula_image_female_2.jpg,Pyrrhula_pyrrhula_image_male_1.jpg|Pyrrhula_pyrrhula_image_male_2.jpg,,Pyrrhula_pyrrhula_dist.png
Regulus regulus,,Regulus_regulus_image_female_1.jpg|Regulus_regulus_image_female_2.jpg|Regulus_regulus_image_female_3.jpg|Regulus_regulus_image_female_4.jpg|Regulus_regulus_image_female_5.jpg,Regulus_regulus_image_male_1.jpg|Regulus_regulus_image_male_2.jpg|Regulus_regulus_image_male_3.jpg|Regulus_regulus_image_male_4.jpg,,
Riparia riparia,Riparia_riparia_image_1.jpg|Riparia_riparia_image_2.jpg|Riparia_riparia_image_3.jpg|Riparia_riparia_image_4.jpg|Riparia_riparia_image_5.jpg,,,,
Sitta europaea,Sitta_europaea_image_1.jpg|Sitta_europaea_image_2.jpg|Sitta_europaea_image_3.jpg|Sitta_europaea_image_4.jpg|Sitta_europaea_image_5.jpg,,,,
Spatula clypeata,,Anas_clypeata_image_female_1.jpg|Anas_clypeata_image_female_2.jpg|Anas_clypeata_image_female_3.jpg|Anas_clypeata_image_female_4.jpg|Anas_clypeata_image_female_5.jpg,Anas_clypeata_image_male_1.jpg|Anas_clypeata_image_male_2.jpg|Anas_clypeata_image_male_3.jpg|Anas_clypeata_image_male_4.jpg|Anas_clypeata_image_male_5.jpg,,
Spinus spinus,,Spinus_spinus_image_female_1.jpg|Spinus_spinus_image_female_2.jpg|Spinus_spinus_image_female_3.jpg|Spinus_spinus_image_female_4.jpg|Spinus_spinus_image_female_5.jpg,Spinus_spinus_image_male_1.jpg|Spinus_spinus_image_male_2.jpg|Spinus_spinus_image_male_3.jpg|Spinus_spinus_image_male_4.jpg|Spinus_spinus_image_male_5.jpg,,
Streptopelia decaocto,Streptopelia_decaocto_image_1.jpg|Streptopelia_decaocto_image_2.jpg|Streptopelia_decaocto_image_3.jpg|Streptopelia_decaocto_image_4.jpg|Streptopelia_decaocto_image_5.jpg,,,,
Strix aluco,Strix_aluco_image_1.jpg|Strix_aluco_image_2.jpg|Strix_aluco_image_3.jpg|Strix_aluco_image_4.jpg|Strix_aluco_image_5.jpg,,,,
Sturnus vulgaris,Sturnus_vulgaris_image_1.jpg|Sturnus_vulgaris_image_2.jpg|Sturnus_vulgaris_image_3.jpg|Sturnus_vulgaris_image_4.jpg|Sturnus_vulgaris_image_5.jpg,,,,
Sylvia atricapilla,,Sylvia_atricapilla_image_female_1.jpg|Sylvia_atricapilla_image_female_2.jpg|Sylvia_atricapilla_image_female_3.jpg|Sylvia_atricapilla_image_female_4.jpg|Sylvia_atricapilla_image_female_5.jpg,Sylvia_atricapilla_image_male_1.jpg|Sylvia_atricapilla_image_male_2.jpg|Sylvia_atricapilla_image_male_3.jpg|Sylvia_atricapilla_image_male_4.jpg|Sylvia_atricapilla_image_male_5.jpg,,
Sylvia borin,Sylvia_borin_image_1.jpg|Sylvia_borin_image_2.jpg|Sylvia_borin_image_3.jpg|Sylvia_borin_image_4.jpg|Sylvia_borin_image_5.jpg,,,,
Tachybaptus ruficollis,Tachybaptus_ruficollis_image_1.jpg|Tachybaptus_ruficollis_image_2.jpg|Tachybaptus_ruficollis_image_3.jpg|Tachybaptus_ruficollis_image_4.jpg|Tachybaptus_ruficollis_image_5.jpg,,,,
Tringa ochropus,Tringa_ochropus_image_1.jpg|Tringa_ochropus_image_2.jpg|Tringa_ochropus_image_3.jpg|Tringa_ochropus_image_4.jpg|Tringa_ochropus_image_5.jpg,,,,
Tringa totanus,Tringa_totanus_image_1.jpg|Tringa_totanus_image_2.jpg|Tringa_totanus_image_3.jpg|Tringa_totanus_image_4.jpg|Tringa_totanus_image_5.jpg,,,,
Troglodytes troglodytes,Troglodytes_troglodytes_image_1.jpg|Troglodytes_troglodytes_image_2.jpg|Troglodytes_troglodytes_image_3.jpg|Troglodytes_troglodytes_image_4.jpg|Troglodytes_troglodytes_image_5.jpg,,,,
Turdus merula,,Turdus_merula_image_female_1.jpg|Turdus_merula_image_female_2.jpg|Turdus_merula_image_female_3.jpg|Turdus_merula_image_female_4.jpg|Turdus_merula_image_female_5.jpg,Turdus_merula_image_male_1.jpg|Turdus_merula_image_male_2.jpg|Turdus_merula_image_male_3.jpg|Turdus_merula_image_male_4.jpg|Turdus_merula_image_male_5.jpg,,
Turdus philomelos,Turdus_philomelos_image_1.jpg|Turdus_philomelos_image_2.jpg|Turdus_philomelos_image_3.jpg|Turdus_philomelos_image_4.jpg|Turdus_philomelos_image_5.jpg,,,,
Turdus viscivorus,Turdus_viscivorus_image_1.jpg|Turdus_viscivorus_image_2.jpg|Turdus_viscivorus_image_3.jpg|Turdus_viscivorus_image_4.jpg|Turdus_viscivorus_image_5.jpg,,,,
Tyto alba,Tyto_alba_image_1.jpg|Tyto_alba_image_2.jpg|Tyto_alba_image_3.jpg|Tyto_alba_image_4.jpg|Tyto_alba_image_5.jpg,,,,
Vanellus vanellus,,Vanellus_vanellus_image_female_1.jpg|Vanellus_vanellus_image_female_2.jpg|Vanellus_vanellus_image_female_3.jpg|Vanellus_vanellus_image_female_4.jpg|Vanellus_vanellus_image_female_5.jpg,Vanellus_vanellus_image_male_1.jpg|Vanellus_vanellus_image_male_2.jpg|Vanellus_vanellus_image_male_3.jpg|Vanellus_vanellus_image_male_4.jpg|Vanellus_vanellus_image_male_5.jpg,,
