name,lang,Wikipedia,eBird,NABU,Nord University
Sturnus vulgaris,ru,https://ru.wikipedia.org/wiki/Sturnus_vulgaris,https://ebird.org/species/eursta?siteLanguage=ru,,https://quiz.natureid.no/bird/eBook.php?specieID=1801
Dendrocopos major,en,https://en.wikipedia.org/wiki/Dendrocopos_major,https://ebird.org/species/grswoo?siteLanguage=en,,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Dendrocopos major,nl,https://nl.wikipedia.org/wiki/Dendrocopos_major,,,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Dendrocopos major,de,https://de.wikipedia.org/wiki/Dendrocopos_major,https://ebird.org/species/grswoo?siteLanguage=de,https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/buntspecht/,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Dendrocopos major,fr,https://fr.wikipedia.org/wiki/Dendrocopos_major,https://ebird.org/species/grswoo?siteLanguage=fr,,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Dendrocopos major,es,https://es.wikipedia.org/wiki/Dendrocopos_major,https://ebird.org/species/grswoo?siteLanguage=es,,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Dendrocopos major,eo,https://eo.wikipedia.org/wiki/Dendrocopos_major,,,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Dendrocopos major,ru,https://ru.wikipedia.org/wiki/Dendrocopos_major,https://ebird.org/species/grswoo?siteLanguage=ru,,https://quiz.natureid.no/bird/eBook.php?specieID=1181
Passer domesticus,en,https://en.wikipedia.org/wiki/Passer_domesticus,https://ebird.org/species/houspa?siteLanguage=en,,https://quiz.natureid.no/bird/eBook.php?specieID=1235
Passer domesticus,nl,https://nl.wikipedia.org/wiki/Passer_domesticus,,,https://quiz.natureid.no/bird/eBook.php?specieID=1235
Passer domesticus,de,https://de.wikipedia.org/wiki/Passer_domesticus,https://ebird.org/species/houspa?siteLanguage=de,https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/haussperling/,https://quiz.natureid.no/bird/eBook.php?specieID=1235
Passer domesticus,fr,https://fr.wikipedia.org/wiki/Passer_domesticus,https://ebird.org/species/houspa?siteLanguage=fr,,https://quiz.natureid.no/bird/eBook.php?specieID=1235
