name,lang,,,,
Chroicocephalus ridibundus,eo,,,,
Chroicocephalus ridibundus,ru,,,,
Hirundo rustica,en,,,,
Hirundo rustica,nl,,,,
Hirundo rustica,de,Rauchschwalben fliegen bis zu 20 Meter pro Sekunde bei vier bis zehn Flügelschlägen.,,,
Hirundo rustica,fr,,,,
Hirundo rustica,es,,,,
Hirundo rustica,eo,,,,
Hirundo rustica,ru,,,,
Aythya fuligula,en,,,,
Aythya fuligula,nl,,,,
Aythya fuligula,de,,,,
Aythya fuligula,fr,,,,
Aythya fuligula,es,,,,
Aythya fuligula,eo,,,,
Aythya fuligula,ru,,,,
Emberiza citrinella,en,,,,
Emberiza citrinella,nl,,,,
Emberiza citrinella,de,"Merksprüche für Vogelgesänge sind meistens etwas albern, helfen aber garantiert. Bei der Goldammer hört man mit etwas Fantasie ein „wie-wie-wie hab ich die liiiieb“.",,,
Emberiza citrinella,fr,,,,
Emberiza citrinella,es,,,,
Emberiza citrinella,eo,,,,
Emberiza citrinella,ru,,,,
Columba livia domestica,en,,,,
Columba livia domestica,nl,,,,
Columba livia domestica,de,,,,
Columba livia domestica,fr,,,,
Columba livia domestica,es,,,,
Columba livia domestica,eo,,,,
Columba livia domestica,ru,,,,
Turdus philomelos,en,,,,
Turdus philomelos,nl,,,,
Turdus philomelos,de,"Singdrosseln fressen gerne Schnecken, deren Häuser sie auf einem Stein aufknacken. Solche Plätze mit zerschlagenen Schneckenhäusern werden „Drosselschmiede“ genannt.",,,
Turdus philomelos,fr,,,,
Turdus philomelos,es,,,,
Turdus philomelos,eo,,,,
Turdus philomelos,ru,,,,
Alopochen aegyptiaca,en,,,,
Alopochen aegyptiaca,nl,,,,
Alopochen aegyptiaca,de,Beim Brutplatz ist die Nilgans nicht wählerisch. Man findet ihre Nester in Storchenhorsten oder auf Brückenpfeilern.,,,
Alopochen aegyptiaca,fr,,,,
Alopochen aegyptiaca,es,,,,
Alopochen aegyptiaca,eo,,,,
Alopochen aegyptiaca,ru,,,,
Podiceps cristatus,en,,,,
Podiceps cristatus,nl,,,,
Podiceps cristatus,de,Haubentaucher können bis zu 45 Sekunden unter Wasser bleiben.,,,
Podiceps cristatus,fr,,,,
Podiceps cristatus,es,,,,
Podiceps cristatus,eo,,,,
Podiceps cristatus,ru,,,,
Passer montanus,en,,,,
Passer montanus,nl,,,,
