name,filename,media_type,user,url,license
Alopochen aegyptiaca,Alopochen_aegyptiaca_image_2.jpg,image,© Oscar en Jolanda Balm,https://waarneming.nl/foto/view/12562457,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alopochen aegyptiaca,Alopochen_aegyptiaca_image_3.jpg,image,© Maria van Antwerpen,https://waarneming.nl/foto/view/10468295,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alopochen aegyptiaca,Alopochen_aegyptiaca_image_4.jpg,image,© Erik op den Dries,https://waarneming.nl/foto/view/9042310,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Alopochen aegyptiaca,Alopochen_aegyptiaca_image_5.jpg,image,© Jan Aalders,https://waarneming.nl/foto/view/5016730,https://creativecommons.org/licenses/by/3.0/legalcode
Spatula clypeata,Anas_clypeata_call_1.mp3,call,© Paul Driver,http://www.xeno-canto.org/168803,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_female_1.jpg,image_female,© Marc Kolkman,http://waarneming.nl/foto/view/6343937,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_female_2.jpg,image_female,© jan van der ree,https://waarneming.nl/foto/view/13165773,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_female_3.jpg,image_female,© Wouter van der Ham,https://waarneming.nl/foto/view/10080468,https://creativecommons.org/licenses/by/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_female_4.jpg,image_female,© Harry K,https://waarneming.nl/foto/view/12414861,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_female_5.jpg,image_female,"© Conny &amp; Peter, Das",https://waarneming.nl/foto/view/12699004,https://creativecommons.org/licenses/by-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_male_1.jpg,image_male,© Rene de Ruijter,http://waarneming.nl/foto/view/6408318,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_male_2.jpg,image_male,© jan van der ree,https://waarneming.nl/foto/view/13165762,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_male_3.jpg,image_male,© Pieterbj van den Berg,https://waarneming.nl/foto/view/8518655,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_male_4.jpg,image_male,© René van Rossum,https://waarneming.nl/foto/view/2965476,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Spatula clypeata,Anas_clypeata_image_male_5.jpg,image_male,© fred visscher,https://waarneming.nl/foto/view/305412,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anas crecca,Anas_crecca_call_1.mp3,call,©&nbsp;Ruud van Beusekom,http://www.xeno-canto.org/304120,http://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
Anas crecca,Anas_crecca_image_female_1.jpg,image_female,© Gerard Visser,http://waarneming.nl/foto/view/2573299,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas crecca,Anas_crecca_image_female_2.jpg,image_female,© René van Rossum,https://waarneming.nl/foto/view/2982736,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anas crecca,Anas_crecca_image_female_3.jpg,image_female,© Marc Kolkman,https://waarneming.nl/foto/view/3066736,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas crecca,Anas_crecca_image_female_4.jpg,image_female,© Pieter Hilgeman,https://waarneming.nl/foto/view/12583914,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anas crecca,Anas_crecca_image_female_5.jpg,image_female,© Pieter Hilgeman,https://waarneming.nl/foto/view/12416340,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anas crecca,Anas_crecca_image_male_1.jpg,image_male,© otte zijlstra,http://waarneming.nl/foto/view/4510056,http://creativecommons.org/licenses/by/3.0/legalcode
Anas crecca,Anas_crecca_image_male_2.jpg,image_male,© Ton van Wijk,https://waarneming.nl/foto/view/10396330,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas crecca,Anas_crecca_image_male_3.jpg,image_male,© Hans Niekus,https://waarneming.nl/foto/view/8143204,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas crecca,Anas_crecca_image_male_4.jpg,image_male,© otte zijlstra,https://waarneming.nl/foto/view/4510056,https://creativecommons.org/licenses/by/3.0/legalcode
Anas crecca,Anas_crecca_image_male_5.jpg,image_male,© Marc Kolkman,https://waarneming.nl/foto/view/3066742,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca penelope,Anas_penelope_call_1.mp3,call,©&nbsp;Patrik Åberg,http://www.xeno-canto.org/83877,http://creativecommons.org/licenses/by-nc-nd/2.5/legalcode
Mareca penelope,Anas_penelope_image_female_1.jpg,image_female,© René van Rossum,http://waarneming.nl/foto/view/4330244,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Mareca penelope,Anas_penelope_image_female_2.jpg,image_female,© René van Rossum,https://waarneming.nl/foto/view/4330243,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Mareca penelope,Anas_penelope_image_female_3.jpg,image_female,© Annelies Vriens,https://waarneming.nl/foto/view/7945676,https://creativecommons.org/licenses/by-nd/3.0/legalcode
Mareca penelope,Anas_penelope_image_female_4.jpg,image_female,© jan van der ree,https://waarneming.nl/foto/view/12881709,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca penelope,Anas_penelope_image_female_5.jpg,image_female,© Ruud van Middelkoop,https://waarneming.nl/foto/view/10449738,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca penelope,Anas_penelope_image_male_1.jpg,image_male,© Edwin Schuller,http://waarneming.nl/foto/view/4374666,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca penelope,Anas_penelope_image_male_2.jpg,image_male,© J.E.van Klinken,https://waarneming.nl/foto/view/12849142,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
